Code région;Nom de la région;Code département;Code arrondissement départemental;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;Année recensement;Année utilisation;Code INSEE (commune ou arrondissement);Superficie de la commune;Statut;Code INSEE de la commune;Nom de la commune IGN;Nom du département IGN;Nom de la région;Code EPCI;Code EPCI;EPCI
04;La Réunion;974;2;05;405;Petite-Île;11573;99;11672;2011;2014;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;01;401;Les Avirons;10093;162;10255;2007;2010;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;98;416;Saint-Pierre;74480;901;75381;2006;2009;97416;96.32;Commune;97416;Saint-Pierre;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;23;418;Sainte-Marie;32940;446;33386;2015;2018;97418;88.65;Commune;97418;;;;249740119;249740119;CA Intercommunale du Nord de la Réunion (Cinor)
04;La Réunion;974;2;01;401;Les Avirons;10455;153;10608;2009;2012;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;93;411;Saint-Denis;145209;1499;146708;2009;2012;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;03;403;Entre-Deux;6133;91;6224;2010;2013;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;04;404;L' Étang-Salé;13647;193;13840;2012;2015;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;4;91;407;Le Port;38418;250;38668;2010;2013;97407;16.16;Commune;97407;Le Port;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;02;402;Bras-Panon;11838;126;11964;2011;2014;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;97;415;Saint-Paul;103916;1523;105439;2011;2014;97415;240.51;Commune;97415;Saint-Paul;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;91;407;Le Port;38313;283;38596;2007;2010;97407;16.16;Commune;97407;Le Port;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;16;424;Cilaos;5350;88;5438;2015;2018;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;3;07;406;La Plaine-des-Palmistes;6157;88;6245;2015;2018;97406;83.05;Commune;97406;La Plaine-des-Palmistes;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;3;92;410;Saint-Benoît;37940;347;38287;2015;2018;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;1;93;411;Saint-Denis;147920;1417;149337;2016;2019;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion (Cinor)
04;La Réunion;974;4;95;413;Saint-Leu;33697;463;34160;2016;2019;97413;118.08;Commune;97413;Saint-Leu;LA REUNION;LA REUNION;249740101;249740101;CA Territoire de la Côte Ouest (Tco)
04;La Réunion;974;2;05;405;Petite-Île;11564;99;11663;2012;2015;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;99;422;Le Tampon;72658;853;73511;2009;2012;97422;181.02;Commune;97422;Le Tampon;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;96;414;Saint-Louis;51460;460;51920;2009;2012;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;26;417;Saint-Philippe;5100;56;5156;2009;2012;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;33;421;Salazie;7294;72;7366;2008;2011;97421;103.82;Commune;97421;Salazie;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;36;423;Les Trois-Bassins;6994;97;7091;2008;2011;97423;42.48;Commune;97423;;;;;;
04;La Réunion;974;2;01;401;Les Avirons;10580;150;10730;2010;2013;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;02;402;Bras-Panon;11725;135;11860;2010;2013;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;98;416;Saint-Pierre;80356;888;81244;2011;2014;97416;96.32;Commune;97416;Saint-Pierre;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;08;417;Saint-Philippe;5115;52;5167;2015;2018;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;2;96;414;Saint-Louis;53220;612;53832;2016;2019;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;16;403;Entre-Deux;6519;70;6589;2013;2016;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;3;91;409;Saint-André;56156;415;56571;2013;2016;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;2;04;404;L' Étang-Salé;13179;194;13373;2007;2010;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;02;402;Bras-Panon;11028;111;11139;2006;2009;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;95;413;Saint-Leu;31837;389;32226;2011;2014;97413;118.08;Commune;97413;Saint-Leu;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;97;415;Saint-Paul;104332;1512;105844;2013;2016;97415;240.51;Commune;97415;Saint-Paul;LA REUNION;LA REUNION;249740101;249740101;CA Territoire de la Côte Ouest
04;La Réunion;974;2;98;416;Saint-Pierre;80823;946;81769;2012;2015;97416;96.32;Commune;97416;Saint-Pierre;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;99;422;Le Tampon;76796;986;77782;2014;2017;97422;181.02;Commune;97422;Le Tampon;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;3;08;419;Sainte-Rose;6621;81;6702;2015;2018;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;1;04;420;Sainte-Suzanne;23068;207;23275;2015;2018;97420;57.83;Commune;97420;Sainte-Suzanne;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion (Cinor)
04;La Réunion;974;3;90;410;Saint-Benoît;33187;287;33474;2006;2009;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;30;418;Sainte-Marie;30596;381;30977;2006;2009;97418;88.65;Commune;97418;;;;;;
04;La Réunion;974;1;93;411;Saint-Denis;144238;1538;145776;2008;2011;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;94;412;Saint-Joseph;35062;431;35493;2008;2011;97412;177.85;Commune;97412;;;;;;
04;La Réunion;974;3;92;409;Saint-André;51964;327;52291;2007;2010;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;93;411;Saint-Denis;142442;1440;143882;2013;2016;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion
04;La Réunion;974;2;98;416;Saint-Pierre;81415;957;82372;2013;2016;97416;96.32;Commune;97416;Saint-Pierre;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;3;06;421;Salazie;7226;109;7335;2013;2016;97421;103.82;Commune;97421;Salazie;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;2;03;403;Entre-Deux;6285;94;6379;2011;2014;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;96;414;Saint-Louis;52523;548;53071;2011;2014;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;31;419;Sainte-Rose;6792;89;6881;2011;2014;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;36;423;Les Trois-Bassins;7121;99;7220;2010;2013;97423;42.48;Commune;97423;;;;;;
04;La Réunion;974;2;22;405;Petite-Île;11633;90;11723;2013;2016;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;3;92;410;Saint-Benoît;37738;332;38070;2014;2017;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (CIREST)
04;La Réunion;974;2;96;414;Saint-Louis;52803;647;53450;2014;2017;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;08;417;Saint-Philippe;5101;52;5153;2014;2017;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;4;91;407;Le Port;38609;272;38881;2009;2012;97407;16.16;Commune;97407;Le Port;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;95;413;Saint-Leu;30504;266;30770;2009;2012;97413;118.08;Commune;97413;Saint-Leu;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;94;412;Saint-Joseph;37069;523;37592;2012;2015;97412;177.85;Commune;97412;;;;249740085;249740085;CA du Sud
04;La Réunion;974;4;36;423;Les Trois-Bassins;7339;103;7442;2012;2015;97423;42.48;Commune;97423;;;;249740101;249740101;CA Territoire de la Côte Ouest
04;La Réunion;974;2;04;404;L' Étang-Salé;13530;194;13724;2011;2014;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;06;402;Bras-Panon;12887;142;13029;2014;2017;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (CIREST)
04;La Réunion;974;2;01;401;Les Avirons;11148;202;11350;2015;2018;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;1;04;420;Sainte-Suzanne;23224;233;23457;2016;2019;97420;57.83;Commune;97420;Sainte-Suzanne;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion (Cinor)
04;La Réunion;974;4;91;407;Le Port;36952;262;37214;2012;2015;97407;16.16;Commune;97407;Le Port;LA REUNION;LA REUNION;249740101;249740101;CA Territoire de la Côte Ouest
04;La Réunion;974;1;93;411;Saint-Denis;145238;1525;146763;2012;2015;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion
04;La Réunion;974;2;96;414;Saint-Louis;52614;581;53195;2012;2015;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
